No Nasabah, Nilai Investasi 
325900,2245032001
325910,1309728899
325950,3525459583
325980,0
326000,0
326030,0
326120,0
326270,1369376932
326470,0
326480,0
326520,725252358.4
326560,48321174.48
326570,0
326760,0
326770,103099790
326840,2262297482
326970,4157434507
326970,0
326990,1215005750
327040,7063719109
327290,595958309.2
327430,2837623203
327490,2029382000
327530,4339908235
327560,4062817491
327640,3026380000
327660,0
327680,10722638578
327690,0
740050,0
740060,1522234991
740090,0
740160,0
740270,75802301.6
740290,310384500
740320,0
740460,3570064460
740460,0
740520,0
740520,0
740530,410731362.2
740560,0
740690,3589172996
740720,0
740730,2638181776
740780,0
740790,2917907646
740810,0
740830,0
740840,0
740900,0
740990,735094975.7
741000,6055497000
741060,4848684339
741080,0
741100,511373500
741140,0
741160,46560832423
741180,15647654200
741230,1342784522
741320,0
741370,0
741370,2035000000
741430,0
741440,2160105586
741550,742922563.9
741600,0
741610,0
741610,996929291.7
741620,266122784.6
741710,1102000000
741750,0
741750,35819257.75
741760,0
741770,305023753.6
741800,0
741800,0
741820,3044073000
741820,3173671489
741870,0
741910,0
741940,0
741970,0
741990,1291421269
